,Dominant_Topic,Keywords,Text,CardVariant,Category
0,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",cashback flipkart myntra cashback preferred merchants cashback categories,Flipkart Axis Bank Credit Card,ACCOMMODATION
1,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",earn axis edge points every rs spends earn per rs retail shopping spends,AXIS Bank SELECT Credit Card,ONLINE SHOPPING LANDMARK
2,0,"book, ticket, booking, domestic, international, air, value, holiday, car, return",earn cv points every rs spent axis bank vistara credit card redeem upgrades award flights faster options redeem points get bonus cv points upto economy class tickets achieving milestone spends,Axis Bank Vistara Credit Card,TRAVEL ACCOMMODATION
3,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",earn cv points every rs spent axis bank vistara signature credit card redeem upgrades award flights options redeem points get bonus cv points complimentary premium economy tickets achieving milestone spends,Axis Bank Vistara Signature Credit Card,ACCOMMODATION
4,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",earn cv points every rs spent axis bank vistara infinite credit card redeem upgrades award flights faster options redeem points get bonus cv points complimentary business class tickets achieving milestone spends,Axis Bank Vistara Infinite Credit Card,ACCOMMODATION
5,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",cashback freecharge spends cashback spends,Axis Bank Freecharge Plus Credit Card,LANDMARK STORES MOVIE DINING
6,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",spends,Axis bank ACE Credit Card,GROCERY MOVIE DINING FUEL
7,0,"book, ticket, booking, domestic, international, air, value, holiday, car, return",cashback online box office movie ticket purchases week zone easy credit card reward points earned movie offer transactions amount cashback calendar year limited rs,Axis Bank MY ZONE EASY Credit Card,TRAVEL ACCOMMODATION
8,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",cashback bare fare domestic flight bookings rs every time ticket booked wings credit card tickets booked www irctc com maximum cashback rs per transaction maximum annual benefits rs per cardholder rs cashback booking domestic return air ticket rs cashback booking international return air tickets rs cashback booking hotels across india nepal bhutan minimum booking value rs rs cashback international hotel bookings rs rs cashback domestic holidays worth rs rs booking international holidays minimum booking value rs rs bus ticket bookings flat rs per car booking car rentals within india,Axis Bank My Wings Credit Card,ONLINE SHOPPING LANDMARK
9,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points icici bank rewards every rs spent card except fuel earn payback points icici bank rewards every rs spent online transactions earn payback point icici bank rewards every rs spent utilities insurance categories icici bank milestone rewards programme get payback points icici bank rewards spending rs card payback points icici bank rewards time cross rs spend thereafter anniversary year maximum payback points per year,Coral American Express,ACCOMMODATION FUEL UTILITIES
10,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points every rs spent card except fuel get payback point every rs spent utilities insurance categories new icici bank milestone rewards program get payback points spending rs card payback points time cross rs spend thereafter anniversary year maximum payback points per year,Coral contactless card,ACCOMMODATION FUEL UTILITIES
11,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",new icici bank milestone rewards program get payback points spending rs card payback points time cross rs spend thereafter anniversary year maximum payback points per year get one payback point every rs spent utilities insurance categories redeem rewards exciting selection gifts cash reward point equivalent rs redeemed cash,Rubyx Credit Card,ACCOMMODATION FUEL UTILITIES
12,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",new milestone rewards program get payback points spending rs card payback points time cross rs spend thereafter anniversary year maximum payback points per year get payback points every rs spent utilities insurance categories,Sapphiro Credit Card,ACCOMMODATION FUEL UTILITIES
